单词,含义,标签,备注
vehicle,车辆，交通工具; 手段，工具,车,,
car,小汽车，轿车,车,,
bus,巴士,车,,
ambulance,救护车,车,,
truck,卡车,车,,
lorry,运货汽车，机动卡车,车,,
van,先锋; 厢式货车,车,,
coach,教练; 辅导教师; 长途汽车; 旅客车厢; 经济舱,车,,
jeep,吉普车,车,,
automobile,汽车,车,,
carriage,马车; 车厢; 运费,车,,
train,火车,车,,
paleontologist,古生物学家,职业,,
paleontology,古生物学,学科,,
geologist,地质学,职业,,
geology,地质学,学科,,
sedimentary,沉积的,,,
organism,有机体，生物,,,
trilobite,三叶虫,古生物,,
paleozoic,古生代,地质时代,,
mesozoic,中生代,地质时代,,
coarse,粗糙的,,,
rejoice,感到高兴,,,
impose,强制实现、强迫接受,,,
librarian,图书管理员,职业,,
myriad,无数的,,,
insult,侮辱,,,
decipher,解释，破译，密电译文,,,
landscape,风景，景观,,,
sanctuary,圣堂，避难所,,,
companion,同伴，志同道合的人,,,
pulse,脉搏，脉冲,,,
metabolism,新陈代谢,,,
peril,危险，置...于危险中,,,
brutal,野蛮的，残暴的; 残酷的; 直言不讳的,,,
quarry,采石场; 猎物; 正方形，菱形; 来源,,,
lithosphere,岩石圈,,,
compress,压缩,,,
mutilate,残害，切断,,,
flod,折叠,,,
unfold,摊开; 展现，披露,,,
tear,撕裂，眼泪,,,
scorch,烧焦,,,
bake,烘烤,,,
disheveled,不整洁的，凌乱的,,,
decrepit,衰老的，破旧的,,,
tatter,使破烂，破布，碎纸,,,
obscure,隐藏，不清楚的,,,
clay,黏土，泥土,,,
inscrutable,高深莫测的，神秘的,,,
illiterate,文盲，不识字的,,,
literate,受过教育的，有文化的,,,
antiquity,遗物，古物,,,
blind,失明的，盲目的,,,
blinder,眼罩,,,
reveal,揭示，揭露,,,
vestige,遗迹,,,
prospect,前景，展望,,,
jurassic,侏罗纪,,,
cretaceous,白垩纪,,,
mud,泥,,,
igneous,火的 igneous rock 火山岩,,,
magma,岩浆,,,
granite,花岗岩,岩石,,
squeeze,挤压,,,
erosion,侵蚀，腐蚀,,,
pebble,鹅卵石,岩石,,
femur,大腿骨,人体,,
thigh,大腿,人体,,
rib,肋骨,人体,,
skeleton,骨架; 骨骼; 梗概,,,
everlasting,永久的，永恒的，接连不断,,,
lung,肺,人体,,
isolate,隔离，孤立,,,
beast,野兽,,,
portray,描绘，描述,,,
lumber,缓慢移动，伐木,,gmat;
timber,木料，树木；木材的,,,
hippo,河马,动物,,
rhino,犀牛,动物,,
buffalo,水牛,动物,,
bison,野牛,动物,,
injure,伤害; 损害,,,
menace,威胁; 恐吓,,,
grizzly,灰色的，灰熊,,,
surly,脾气坏的，不友好的,,,
territory,地区，领土,,,
radiate,辐射，发出,,,
envelope,信封，包裹,,,
literally,字面上的，正确的，逐字逐句的,,,
penalty,惩罚，处罚,,,
pierce,穿孔，贯穿,,,
bacterium,细菌 （bacteria 复数）,生物,,
metamorphosis,变形，变质,,,
entomb,埋葬,,,
sameness,相同,,,
reign,当政，统治; 占主导地位,,,
hegemony,霸权; 霸权主义; 领导权; 盟主权,,,
apocalypse,世界毁灭; 大灾变; 末世,,,
mammal,哺乳动物,,,
continent,大陆; 欧洲大陆,,,
drift,漂泊; 流动; 慢慢变化,,,
equilibrium,平衡，均势; 平静,,,
sentient,有感觉能力的; 有知觉力的,,,
primate,灵长目动物,,,
diaspora,移民,,,
ravish,使欣喜若狂,,,
ape,类人猿; 猿 模仿,,,
wipe out,彻底摧毁，消灭,,,
devastate,摧毁，使垮掉，使陷于混乱,,,
innumerable,无数的，数不清的; 指不胜屈; 不可胜数; 无可胜数,,,
bestraddle,跨,,,
straddle,叉开腿; 跨坐; 不表明态度,,,
pasture,牧场，牧草地;,,,
pond,池塘,,,
humility,谦逊，谦恭; 谦让的行为; 谦虚谨慎,,,
rejoice,高兴; 欢庆,,,
remarkable,异常的，引人注目的，; 卓越的; 显著的;,,,
homo sapiens,人，人类（学名）,,,
peripatetic,徒步游历的; 漫游的; 巡回的,,,
inevitable,不可避免的; 必然发生的; 必然(发生)的,,,
perturbation,忧虑; 不安; 烦恼;,,,
asteroid,小行星; ,,,
pivotal,中枢的; 枢轴的; 关键的,,,
pivot,枢轴; 中心点，中枢; ,,,
